model_key,cluster_id,panel_id,condition,panel_seed,graph_seed,control_seed
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,15151017,15151101,15151501
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,15151017,15151101,15151501
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,15151017,15151101,15151501
qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,15151017,15151101,15151501
qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,15152017,15152101,15152501
qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,15152017,15152101,15152501
qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,15152017,15152101,15152501
qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,15152017,15152101,15152501
qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,15153017,15153101,15153501
qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,15153017,15153101,15153501
qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,15153017,15153101,15153501
qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,15153017,15153101,15153501
qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,15154017,15154101,15154501
qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,15154017,15154101,15154501
qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,15154017,15154101,15154501
qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,15154017,15154101,15154501
qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,15155017,15155101,15155501
qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,15155017,15155101,15155501
qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,15155017,15155101,15155501
qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,15155017,15155101,15155501
qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,15156017,15156101,15156501
qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,15156017,15156101,15156501
qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,15156017,15156101,15156501
qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,15156017,15156101,15156501
granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,15161017,15161101,15161501
granite,V15G_g0,V15G_g0_field_markovized,field_markovized,15161017,15161101,15161501
granite,V15G_g0,V15G_g0_field_persistent,field_persistent,15161017,15161101,15161501
granite,V15G_g0,V15G_g0_field_scrambled,field_scrambled,15161017,15161101,15161501
granite,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,15162017,15162101,15162501
granite,V15G_g1,V15G_g1_field_markovized,field_markovized,15162017,15162101,15162501
granite,V15G_g1,V15G_g1_field_persistent,field_persistent,15162017,15162101,15162501
granite,V15G_g1,V15G_g1_field_scrambled,field_scrambled,15162017,15162101,15162501
granite,V15G_g2,V15G_g2_nominal_markovized,nominal_markovized,15163017,15163101,15163501
granite,V15G_g2,V15G_g2_field_markovized,field_markovized,15163017,15163101,15163501
granite,V15G_g2,V15G_g2_field_persistent,field_persistent,15163017,15163101,15163501
granite,V15G_g2,V15G_g2_field_scrambled,field_scrambled,15163017,15163101,15163501
granite,V15G_g3,V15G_g3_nominal_markovized,nominal_markovized,15164017,15164101,15164501
granite,V15G_g3,V15G_g3_field_markovized,field_markovized,15164017,15164101,15164501
granite,V15G_g3,V15G_g3_field_persistent,field_persistent,15164017,15164101,15164501
granite,V15G_g3,V15G_g3_field_scrambled,field_scrambled,15164017,15164101,15164501
granite,V15G_g4,V15G_g4_nominal_markovized,nominal_markovized,15165017,15165101,15165501
granite,V15G_g4,V15G_g4_field_markovized,field_markovized,15165017,15165101,15165501
granite,V15G_g4,V15G_g4_field_persistent,field_persistent,15165017,15165101,15165501
granite,V15G_g4,V15G_g4_field_scrambled,field_scrambled,15165017,15165101,15165501
granite,V15G_g5,V15G_g5_nominal_markovized,nominal_markovized,15166017,15166101,15166501
granite,V15G_g5,V15G_g5_field_markovized,field_markovized,15166017,15166101,15166501
granite,V15G_g5,V15G_g5_field_persistent,field_persistent,15166017,15166101,15166501
granite,V15G_g5,V15G_g5_field_scrambled,field_scrambled,15166017,15166101,15166501
