application,feature_block,bin,predicted,observed,rows,clusters
humanitarian,kpi_plus_entropy_disagreement,0,-0.48980772410878626,-0.46049791773962334,630,136
humanitarian,kpi_plus_entropy_disagreement,1,-0.373082720846055,-0.3749264680051792,630,138
humanitarian,kpi_plus_entropy_disagreement,2,-0.3041706293505049,-0.2972810127329617,630,139
humanitarian,kpi_plus_entropy_disagreement,3,-0.2502887291694275,-0.2461035590964474,630,139
humanitarian,kpi_plus_entropy_disagreement,4,-0.19995582943278745,-0.19859986135700777,630,140
humanitarian,kpi_plus_entropy_disagreement,5,-0.1482936775287578,-0.1551451241522715,630,140
humanitarian,kpi_plus_entropy_disagreement,6,-0.09070824996279142,-0.10007173750756572,630,139
humanitarian,kpi_plus_entropy_disagreement,7,-0.00020291202746483444,-0.01737942902322962,630,139
humanitarian,local_kpi_only,0,-0.47529802779503055,-0.44727422132825867,630,138
humanitarian,local_kpi_only,1,-0.36490776741534797,-0.38252131784688514,630,139
humanitarian,local_kpi_only,2,-0.29967348270278715,-0.293172563389921,630,136
humanitarian,local_kpi_only,3,-0.250131983504938,-0.2458746428490773,630,137
humanitarian,local_kpi_only,4,-0.2036221721123926,-0.1990536566991364,630,140
humanitarian,local_kpi_only,5,-0.15414008611856478,-0.16098585932094545,630,139
humanitarian,local_kpi_only,6,-0.09799731951200148,-0.09686001188110939,630,140
humanitarian,local_kpi_only,7,-0.007160684414934536,-0.02426283629895283,630,140
utility_restoration,kpi_plus_entropy_disagreement,0,-0.5068471634957764,-0.4640086005973403,630,135
utility_restoration,kpi_plus_entropy_disagreement,1,-0.37641502289909246,-0.37246473068878067,630,139
utility_restoration,kpi_plus_entropy_disagreement,2,-0.3082367527207306,-0.3323738396227599,630,139
utility_restoration,kpi_plus_entropy_disagreement,3,-0.25720055818021664,-0.253362831607449,630,139
utility_restoration,kpi_plus_entropy_disagreement,4,-0.20995676742423064,-0.2053343742907747,630,140
utility_restoration,kpi_plus_entropy_disagreement,5,-0.15900752830260223,-0.1664535581397767,630,140
utility_restoration,kpi_plus_entropy_disagreement,6,-0.10167600580679155,-0.10786562649446407,630,140
utility_restoration,kpi_plus_entropy_disagreement,7,-0.00726628917053841,-0.010178175904296234,630,140
utility_restoration,local_kpi_only,0,-0.497891359773602,-0.44938163728365826,630,138
utility_restoration,local_kpi_only,1,-0.3702437008995494,-0.395644935070948,630,140
utility_restoration,local_kpi_only,2,-0.3052006656573818,-0.31472828783030754,630,138
utility_restoration,local_kpi_only,3,-0.25651164495060114,-0.23823961563414503,630,139
utility_restoration,local_kpi_only,4,-0.21207471206899764,-0.22263140320332392,630,137
utility_restoration,local_kpi_only,5,-0.16304863122913957,-0.16668210680780518,630,140
utility_restoration,local_kpi_only,6,-0.10584168383050295,-0.1141532973616535,630,138
utility_restoration,local_kpi_only,7,-0.014893386164408686,-0.010580454153800059,630,140
