filename,purpose,source_table,estimand,recommendation,supported_claim,important_limitation,pdf_sha256,source_sha256
figure01_augmented_state_architecture.pdf,Define agent boundaries and the augmented-to-macrostate projection,figures/source_data/figure01_augmented_state_architecture.csv,state and information-flow definitions,main,LLM decisions are local while macroscopic analysis is evaluator-side,The projection need not be Markov,9c839c9293a74afaec29e88c33f8c81a62b2efb165f5ec536cba774ef2f930a6,f8ba2c96b167e1d199f55566caf55d42ef76c9e1021e27bfc36c3fc4b705ff55
figure02_memory_discovery_replication.pdf,"Separate memory discovery, replication, and cross-model extension",figures/source_data/figure02_memory_discovery_replication.csv,persistent minus Markovized adjusted block divergence,main,Memory-associated temporal asymmetry is evaluated across distinct study roles,V12/V13 are not prospectively pooled with V15,d9c64a4b6102abac3cd702f8367a71469bdeb563864ffc3acccf46cc134143e2,9746b9cab47c58950fac96da2f5cf1b6af29594d5a6cbd2a8795a972510164e0
figure03_v14_quench_time_series.pdf,Show V14 quench and counter-quench response in complementary coordinates,figures/source_data/figure03_v14_quench_time_series.csv,cluster-mean time-resolved observables,main,"Field reversal drives energy, entropy, and distance pulses",Derived V14 trajectories; correction does not alter raw choices,307cdf8aa2cbd9e87f80494e224a30faad86ca97a188bc70905c5e7fb0fb25c7,0f7318f4641a1fa95d287ed3e178b67f11f1303148ca61e8841dc00a55f90d01
figure04_v14_cluster_recovery.pdf,Expose V14 cluster heterogeneity and protocol-consistent recovery,figures/source_data/figure04_v14_cluster_recovery.csv,cluster trajectories with training-only thresholds,main,All recovery statements use held-out-cluster-excluded thresholds,Distance scale is metric-specific; historical H3 sign test is invalid,28b051e46b61bef8027a2b52b2bd7599304b11a7b1089e9c26707e352ae7e11a,9cce0bfd41c28b1d3e727a597202a76c0e046cf10cba4349350fa90f571d47b2
figure05_v14_delayed_audit.pdf,Report delayed prespecified dependence and permutation audits,figures/source_data/figure05_v14_delayed_audit.csv,window sensitivity and cluster-preserving nulls,supplement,Raw and bias-adjusted dependence plus full-pipeline permutation results are explicit,Completed after formal outcomes because of implementation omissions,ab806f1aafa705e856af81417fbf4db925668218084ef81a9f877d00b56f7895,9020ecf9216c348cd21af6b4454963ca22f124808b8a979646faaf5172f32e0d
figure06_cross_model_quench.pdf,Compare matched field quench response across model families,figures/source_data/figure06_cross_model_quench.csv,model-specific LOCO macrostate distance,main,Independent-model replication is assessed without cross-model scale pooling,Distances are fitted within model,b7bd3b5367ebc9ce22271c262f40b86ad255921dd83401c1a9198b68cd1b662b,71b5d9b9b0c47a531270d8cf2a2782e61c64e07ecfb51e9856d1eaeee42c8537
figure07_v15_memory_controls.pdf,Test genuine memory against Markovized and prompt-matched scrambled history,figures/source_data/figure07_v15_memory_controls.csv,paired cluster differences,main,Separates historical content from prompt length and format,"Coarse-grained temporal asymmetry, not exact entropy production",9e09c0218736c903c8b6afb860db31ef81347590bcc94f72c6b6189bbefb47ed,fdd52dc2b59879645887087367577b7fc2292722aec68f9e29cbfd996cd62bdb
figure08_path_reversal_sensitivity.pdf,"Audit block length, pseudocount, and shuffled bias floor",figures/source_data/figure08_path_reversal_sensitivity.csv,bias-adjusted block reversal divergence,supplement,Memory contrasts can be checked against estimator choices,Observable coarse-graining and finite length remain limiting,eeefbf62ff5e51b93d757e0112042246e5e834b8a9121184876d1d07920f2dd5,0cdd7b0f792e8df96604cc852b563b9ae5cf3cc906dc06e54783be94633c15a9
figure09_confirmatory_effects.pdf,Show formal effects without mixing incompatible units,figures/source_data/figure09_confirmatory_effects.csv,H1-H4 cluster-level effects and 95% intervals,main,"Formal dispositions remain visible whether positive, null, or mixed",Separate axes are required for distance and information units,8975f000f27d181ba9c99141657f6abf16fae862dba9506e059b9abde4b7714d,dc10bd56902d03500a03c2d023ddc5b9067fe1c92bbf38b6476b4d1d308b12fd
figure10_direct_surrogate_quench.pdf,Evaluate a V13-fitted kinetic closure out of sample on V14 quench paths,figures/source_data/figure10_direct_surrogate_quench.csv,time-resolved shared observables,main,Surrogate successes and failures are compared without quench refitting,The surrogate uses Qwen microscopic data and is not a cross-model replacement,22b9ac164083292048c9ccf2aed5e94fb3864583aab5103de61974b244f0cde8,0bd36695aaf56f0cb2eb9cc7b8c53ef8fd3e97c22910030f7ddde2aaa038c0ca
figure11_surrogate_size_sensitivity.pdf,Place direct N=16 anchors in a denser inexpensive effective-model size context,figures/source_data/figure11_surrogate_size_sensitivity.csv,CPU kinetic-surrogate quench response,supplement,Effective-model size trends are explicit comparison results,Not direct-LLM finite-size scaling,2df1742bab61f4076300d1433c3bb5a05a7c8540f099b8b211417632f509d7d4,9647715ab15aac6fdfd22c37ed9a0baf55aadb5f90cc8dca00af0225efa5e2c3
figure12_memory_prompt_balance.pdf,Verify the scrambled-history prompt-length control,figures/source_data/figure12_memory_prompt_balance.csv,per-cluster mean token counts,supplement,Prompt length and format are approximately matched,Semantic content cannot be exactly token-matched turn by turn,d34c5017af7eff7ea065f3cfe1730db9ffd6224c5c9b56694b8de5648c665285,888e807f356c822d7dcf55b919efb2ea4e90933c1d88cd67c2cccf855460bee9
figure13_graph_distance_correlations.pdf,Relate microscopic belief covariance to modular graph distance,figures/source_data/figure13_graph_distance_correlations.csv,per-trajectory connected correlations summarized across six clusters,main_candidate,"Within persistent-history field trajectories, quench phases can reorganize spatial covariance beyond mean magnetization",One finite N=16 reciprocal modular topology; node labels align only by predefined community across graph realizations; no correlation-length scaling,6271b8b469a52caa8d263bc23995dccde5249b51bd0ac864395c9393c3df3f13,c3fd12ca890eb1f7f840b9227023f3d608a37a62066927d9acaacade232d7473
figure14_persistence_and_binder.pdf,Connect temporal persistence to finite-size order-parameter shape,figures/source_data/figure14_persistence_and_binder.csv,"phase-resolved autocorrelation, truncated correlation sums, Binder cumulants, and occupancies",supplement_candidate,Memory and quench response can alter persistence and distribution shape beyond mean order,"Short, potentially nonstationary N=16 phase windows; no equilibrium correlation-time, critical-slowing-down, or Binder-crossing claim",3e8f383bacc00c77221bf34ae90bd4ee5741cd60c3c1bef89cd5ad7c6bebcc01,25873ee443193347f6aba94badaeec038c3c1e9611b296bd141ba5538c7e8d46
