figure,pdf,preview,source_data,description
v6_v7_complexity_comparison,figures/pdf/v6_v7_complexity_comparison.pdf,figures/png/v6_v7_complexity_comparison.png,figures/source_data/v6_v7_complexity_comparison.csv,Audited V6 versus configured V7 complexity.
humanitarian_multilayer_network,figures/pdf/humanitarian_multilayer_network.pdf,figures/png/humanitarian_multilayer_network.png,figures/source_data/humanitarian_multilayer_network.csv,Stored medium-size V7 graph instance and structural communities.
utility_multilayer_network,figures/pdf/utility_multilayer_network.pdf,figures/png/utility_multilayer_network.png,figures/source_data/utility_multilayer_network.csv,Stored medium-size V7 graph instance and structural communities.
v7_independent_agent_entropy_architecture,figures/pdf/v7_independent_agent_entropy_architecture.pdf,figures/png/v7_independent_agent_entropy_architecture.png,figures/source_data/v7_independent_agent_entropy_architecture.csv,V7 decentralized execution and Level-2 risk-control boundary.
complexity_phase_diagram,figures/pdf/complexity_phase_diagram.pdf,figures/png/complexity_phase_diagram.png,figures/source_data/complexity_phase_diagram.csv,Discrete prospective complexity cells with panel means and normal descriptive intervals; no smoothing or confirmatory claim.
harm_reduction_coupling_fragmentation,figures/pdf/harm_reduction_coupling_fragmentation.pdf,figures/png/harm_reduction_coupling_fragmentation.png,figures/source_data/harm_reduction_coupling_fragmentation.csv,Discrete prospective complexity cells with panel means and normal descriptive intervals; no smoothing or confirmatory claim.
entropy_value_scaling,figures/pdf/entropy_value_scaling.pdf,figures/png/entropy_value_scaling.png,figures/source_data/entropy_value_scaling.csv,Observed discrete formal-development scale levels with panel standard errors; points are intentionally not interpolated.
risk_coverage,figures/pdf/risk_coverage.pdf,figures/png/risk_coverage.png,figures/source_data/risk_coverage.csv,Panel-level coverage curves from grouped cross-fitted formal-development predictions.
utility_coverage,figures/pdf/utility_coverage.pdf,figures/png/utility_coverage.png,figures/source_data/utility_coverage.csv,Panel-level coverage curves from grouped cross-fitted formal-development predictions.
communication_safety_pareto,figures/pdf/communication_safety_pareto.pdf,figures/png/communication_safety_pareto.png,figures/source_data/communication_safety_pareto.csv,"Matched formal-development communication reductions, safety difference, and estimation error; every message type is counted."
entropy_consensus_disruption_trajectories,figures/pdf/entropy_consensus_disruption_trajectories.pdf,figures/png/entropy_consensus_disruption_trajectories.png,figures/source_data/entropy_consensus_disruption_trajectories.csv,Formal reference probes aligned to application-specific disruption onset; the dotted recovery marker is the configured partition-release time.
consensus_recovery_after_partitions,figures/pdf/consensus_recovery_after_partitions.pdf,figures/png/consensus_recovery_after_partitions.png,figures/source_data/consensus_recovery_after_partitions.csv,Formal reference probes aligned to application-specific disruption onset; the dotted recovery marker is the configured partition-release time.
graph_topology_robustness,figures/pdf/graph_topology_robustness.pdf,figures/png/graph_topology_robustness.png,figures/source_data/graph_topology_robustness.csv,Structural diagnostics for stored topology instances.
regime_level_effect_forest,figures/pdf/regime_level_effect_forest.pdf,figures/png/regime_level_effect_forest.png,figures/source_data/regime_level_effect_forest.csv,"Panel effects with 10,000-replicate cluster bootstrap intervals; formal development, not confirmation."
entropy_family_comparison,figures/pdf/entropy_family_comparison.pdf,figures/png/entropy_family_comparison.png,figures/source_data/entropy_family_comparison.csv,Diagnostic ranking by prespecified information family.
causal_chain_cascade_depth,figures/pdf/causal_chain_cascade_depth.pdf,figures/png/causal_chain_cascade_depth.png,figures/source_data/causal_chain_cascade_depth.csv,Stored episode-level causal-chain or allocation outcomes.
humanitarian_resource_equity,figures/pdf/humanitarian_resource_equity.pdf,figures/png/humanitarian_resource_equity.png,figures/source_data/humanitarian_resource_equity.csv,Stored episode-level causal-chain or allocation outcomes.
primary_effect_forest,figures/pdf/primary_effect_forest.pdf,figures/png/primary_effect_forest.png,figures/source_data/primary_effect_forest.csv,"Panel effects with 10,000-replicate cluster bootstrap intervals; formal development, not confirmation."
