hypothesis,status,evidence
H1 complexity-dependent selective-safety value,not_tested_formally,pilots_iteration3/analysis/pilot_analysis.json
H2 high-complexity selective-safety value in both applications,not_tested_formally,pilots_iteration3/analysis/high_complexity_effects.csv
H3 communication-efficient distributed monitoring,pilot_only,pilots/analysis/communication_reductions.csv
H4 entropy value increases with scale,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
H5 fragmented exceeds public information,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
H6 generalized entropy adds beyond Shannon,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
H7 consensus recovers after partitions,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
H8 learned policies remain stable,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
H9 held-out topology generalization,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
H10 V6-like setting is a low-complexity boundary,exploratory_or_not_unlocked,CLAIMS_MATRIX.md
