application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e40d6be85d2ebbea13478797480cb6fd505d2288ce313fa6dde3c2ce75d37b25,351c4aa33dd7fea7756fe8baa30ad2fdceae7c6bb8566902a67e145561fb2c5f,25029
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,82f71b40dc48eb7c8bf99fe1e89ac82d1c878e0873ef999d80b1f4df67eef9f2,ca182db2abbd04b1768affd904f05fde76e98243d3a81778bb347a7ea832f50f,76534
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,1d8b13bd8fd13f5a57727c427ec43c159b4279f865c0b675c633fc3db78358ee,e6bbae9ec06b2ac9b60a102e84f426a25c5bc29338b773eba405cfa8e23f5dbd,4606939
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,8c88a9bcefb74e837cdd90b2823fc92fb10613d82a0bac69238abb815b85ed4c,04e13c1d87e2a6c57aee94a512fecee1a7a335985dd6171ca1f5fa43addd7f80,8241
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,plain,2c40fe4c0bec37a47930e733ed19920a48f6bff109b77c772b22164acda06f8d,2c40fe4c0bec37a47930e733ed19920a48f6bff109b77c772b22164acda06f8d,7658
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,a41a70235984a1b98d6bc7b3897c9f32e09a70342a606d6d64ea2d9d5705b47d,7001901e2f296584fad7002556e1f713a1d0a5d8e55178a623e4ce80c8dcbaf7,173767
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,xz,c873e97e1e63543d10689f059db76fd554ac77c453bad145b18608225b02ba26,5400111973522008a4d0268cf7c5099993eed18eea8aaff38963045a055a05c6,40205123
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,9076d8f26a52643e6097e8b312e2950e852428dffb3c803e8e85d8e2fec4dfcd,462f4e2f6b276f1a8bdde8d77d11896471d94fa1deb28d8d709c75bd3ef1ace4,66036
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,9296d5f501fbaaeb2f6aa3444ad740e81baf6c9fe69fd90f7b406d62ffcd53f1,5b66f9d28a5013794842d846936d4b0c65de8e3f365c3e56ce9cfd88f62b41c4,24641
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/decisions.csv,gzip,dcd5d38b452434afa95bf57ac8b826e793b32b9b9e7085240ca6f8443bff514e,a1da0a274068c94b17e3c4c9cba5885e0c23594a77af6fbc29888afecd53f4a7,82408
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,d0529c48aa61ca71b8ed85c00f7aebb188949bdd5892f01a1cc08af98a667101,c3f97158ef00ba47fd7a54e75f6b7a00b5253a36475c2d8c91b812d75d41042e,2210422
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,0c8ef5214494af55bf3c04f2b211ba712b68179e6b8f6336dff23ae23c92eabd,5e4e82fe9cb9f07ef9d8d21bed7907b49e6d46118d9bf7f1e476137f8579bc9f,8111
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/episode.json,plain,3505106db98587a07f6214824c58035ed927615a6e681fe7e57d5bedd725a723,3505106db98587a07f6214824c58035ed927615a6e681fe7e57d5bedd725a723,7845
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/estimation.csv,gzip,278098c68de05c122a9312a0f8fb92e88b00ebb8b974d10d68becd213fe614ed,682a3396e7f4ea278aa0141cd8ebf04f57c7e0c4b71579a96138d89505aa8d9f,173783
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/events.jsonl,xz,6ef997d1fee8dd3b864ddbf4c0da2b7fd066f72a058de8cb7b8d5b56cde72994,a845696682a325ec4edb166ee36588d715af415133b5c3c1fc241d47a1ecc766,19573021
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/triggers.csv,gzip,15a908452bb70a11268c8b34ecf6e1ddcf559eadbadf785c2a1e22fc3e47e6c3,88fe2c765c8750e79b5473aa4f18ffd393d8f16e12d4a6d543b116b0b6a3a57a,78245
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,9296d5f501fbaaeb2f6aa3444ad740e81baf6c9fe69fd90f7b406d62ffcd53f1,5b66f9d28a5013794842d846936d4b0c65de8e3f365c3e56ce9cfd88f62b41c4,24641
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,dcd5d38b452434afa95bf57ac8b826e793b32b9b9e7085240ca6f8443bff514e,a1da0a274068c94b17e3c4c9cba5885e0c23594a77af6fbc29888afecd53f4a7,82408
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,d0529c48aa61ca71b8ed85c00f7aebb188949bdd5892f01a1cc08af98a667101,c3f97158ef00ba47fd7a54e75f6b7a00b5253a36475c2d8c91b812d75d41042e,2210422
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,0c8ef5214494af55bf3c04f2b211ba712b68179e6b8f6336dff23ae23c92eabd,5e4e82fe9cb9f07ef9d8d21bed7907b49e6d46118d9bf7f1e476137f8579bc9f,8111
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,plain,8898961a5554b06c3880abda9a876589cf9e5b4714e47c02f43557c9cc465e56,8898961a5554b06c3880abda9a876589cf9e5b4714e47c02f43557c9cc465e56,7845
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,278098c68de05c122a9312a0f8fb92e88b00ebb8b974d10d68becd213fe614ed,682a3396e7f4ea278aa0141cd8ebf04f57c7e0c4b71579a96138d89505aa8d9f,173783
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,xz,951b50a4e4b4e15101c7cd661be03bad26513df76863f8d0cc8261c8e95a8439,12afb00c16a5271407a65342f47309b775abef0d072cb0125e2c8a38effaa32b,19573021
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,15a908452bb70a11268c8b34ecf6e1ddcf559eadbadf785c2a1e22fc3e47e6c3,88fe2c765c8750e79b5473aa4f18ffd393d8f16e12d4a6d543b116b0b6a3a57a,78245
humanitarian,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,b5e5668e4e98dbe4b2764d2cccea949335b0ab412674bf050e871cb870cbefab,d539860770d2f5e7da83a2b281aa941e1e2f28ab94a6d2e9fe835ee605e073c8,25069
