application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e598f0dffa5635903b3e5416f0f1472043968a5a083cc1e651aa7bb1e34f7dd2,0c4bf90af0b8660977ea560d16790afd09c8574e262514107977d14b1be2c2b3,2066
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,7dc25480180f462efad50659421f1dc0b727e81167fa48647e1bf78e9fb84a66,19e9280e90c107bf5663641ce58c164a7e85beb7e00a287f67035512c82a25e3,25225
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,d9fc842b356286adf719f7703e859ed7be71dbca8aed256039d989377c80091a,6accd4b2706ce974ba0861b5f85b0780d01547190fc90a655ebc26d91a1863ce,51638
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,efb4976d9e63ddca97da76b1976d50310ae3e7bb52283c5fcb0dde15c32f8c9b,d9597e91157457fa2eb0c21cced3177b3142c31d5d60955e2e7c79f33139b5cc,1912
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,plain,693128675650ad27be91fdfc3dc6d7f6c2201850d7f8950b8a06bcdbb2fbbd2c,693128675650ad27be91fdfc3dc6d7f6c2201850d7f8950b8a06bcdbb2fbbd2c,7391
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,bc7989f914e5594ca9080d6340c3cd8d9d3a8fe73b997631cdd5b57cedf75a91,d4d192e193802b70af8a7fbe97f643723cdbfbe9361a1e64f75bef2a2469c17a,50438
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,xz,51b963825508b5335d45fddcc35d30a621ce9fe515405b0ade0725cbc38fe16b,c59a23bb88fc85ce218c9046b4d74025cb70c9201ba1ad4e8bc2f1bc3c8a92ad,1047761
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,df1c9fad705a0ee52a764732b1bc804cf896e2ab746d6e8ad60ddcd9290a84f8,6a8f4f714f69abdd30682e4b800bf0868e57acfe192ddf3fe8024d20c6654795,22658
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e598f0dffa5635903b3e5416f0f1472043968a5a083cc1e651aa7bb1e34f7dd2,0c4bf90af0b8660977ea560d16790afd09c8574e262514107977d14b1be2c2b3,2066
utility_restoration,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-small-medium-low-high-grid-private_fragmented-8811007-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/decisions.csv,gzip,0cdb90b22dbf127079201e1e00790add22a689afa5e5d3e04bc8d0f3dea17de0,28ba9eac5dac07fb51637cd533730c73fefd633303fa4c24e782d4daae9c5173,23414
