figure,filename,purpose,source_table,estimand,recommendation,supported_claim,limitation
1,figure01_agent_architecture.pdf,Independent-agent boundaries,figure01_agent_architecture.csv,Agents own state and decisions,main,Agents own state and decisions,"Finite-size, one pinned model"
2,figure02_micro_macro_mapping.pdf,Micro-to-macro formulation,figure02_micro_macro_mapping.csv,Observable reduced state,main,Observable reduced state,"Finite-size, one pinned model"
3,figure03_network_states.pdf,Network state snapshots,network_snapshot_nodes/edges.csv,Explicit directed communication,supplementary,Explicit directed communication,"Finite-size, one pinned model"
4,figure04_memory_discovery_replication.pdf,V12 discovery and V13 replication,memory_discovery_replication.csv,Memory-associated irreversibility,main,Memory-associated irreversibility,"Finite-size, one pinned model"
5,figure05_memory_cluster_effects.pdf,Raw matched memory effects,V12/V13 immutable aggregate tables,Cluster heterogeneity,supplementary,Cluster heterogeneity,"Finite-size, one pinned model"
6,figure06_block_length_sensitivity.pdf,Block-length sensitivity,legacy_memory_block_sensitivity.csv,Estimator robustness,supplementary,Estimator robustness,"Finite-size, one pinned model"
7,figure07_bias_floor.pdf,Finite-sample bias floor,legacy_memory_block_sensitivity.csv,Bias adjustment,supplementary,Bias adjustment,"Finite-size, one pinned model"
8,figure08_conditional_memory_depth.pdf,Conditional memory depth,conditional_memory_depth.csv,History dependence,supplementary,History dependence,"Finite-size, one pinned model"
9,figure09_entropy_decomposition.pdf,Entropy decomposition,macrostate_trajectories.csv,Distinct uncertainty and dependence,supplementary,Distinct uncertainty and dependence,"Finite-size, one pinned model"
10,figure10_energy_entropy_quench.pdf,Energy and entropy during quench,macrostate_trajectories.csv,Quench response,main,Quench response,"Finite-size, one pinned model"
11,figure11_energy_entropy_phase_space.pdf,Energy-entropy path,macrostate_trajectories.csv,Quench/counter-quench path,main,Quench/counter-quench path,"Finite-size, one pinned model"
12,figure12_belief_action_phase_space.pdf,Belief-action lag portrait,macrostate_trajectories.csv,Layered response,supplementary,Layered response,"Finite-size, one pinned model"
13,figure13_macrostate_distance.pdf,Macrostate departure,macrostate_trajectories.csv,Field-quench departure,main,Field-quench departure,"Finite-size, one pinned model"
14,figure14_quench_counterquench.pdf,Quench and restoration,macrostate_trajectories.csv,Recovery path,supplementary,Recovery path,"Finite-size, one pinned model"
15,figure15_peak_integrated_recovery.pdf,Peak responses,quench_recovery.csv,Condition response,supplementary,Condition response,"Finite-size, one pinned model"
16,figure16_hysteresis_route_asymmetry.pdf,Route asymmetry,quench_recovery.csv,Finite-system hysteresis,supplementary,Finite-system hysteresis,"Finite-size, one pinned model"
17,figure17_susceptibility_correlation.pdf,Fluctuation and persistence,macrostate_trajectories.csv,Dynamic response,supplementary,Dynamic response,"Finite-size, one pinned model"
18,figure18_observable_family_contribution.pdf,Observable-family contribution,macrostate_distance_robustness.csv,Separation attribution,supplementary,Separation attribution,"Finite-size, one pinned model"
19,figure19_leave_family_out.pdf,Leave-family-out sensitivity,macrostate_distance_robustness.csv,Separation robustness,supplementary,Separation robustness,"Finite-size, one pinned model"
20,figure20_distance_robustness.pdf,Distance estimator audit,macrostate_distance_robustness.csv,Scale robustness,main,Scale robustness,"Finite-size, one pinned model"
21,figure21_representation_ablation.pdf,Representation comparison,representation_cv.csv,Full vs reduced representation,main,Full vs reduced representation,"Finite-size, one pinned model"
22,figure22_cluster_confusion.pdf,Cluster-held-out confusion,representation_predictions.csv,Condition separation,supplementary,Condition separation,"Finite-size, one pinned model"
23,figure23_condition_trajectories.pdf,Four matched conditions,macrostate_trajectories.csv,Perturbation comparison,supplementary,Perturbation comparison,"Finite-size, one pinned model"
24,figure24_topology_context.pdf,V13 topology context,immutable V13 panel statistics,Topology boundary,supplementary,Topology boundary,"Finite-size, one pinned model"
25,figure25_surrogate_vs_llm.pdf,Reference surrogate comparison,immutable V13 direct/surrogate aggregates,Effective-model limit,main,Effective-model limit,"Finite-size, one pinned model"
26,figure26_claims_forest.pdf,Compatible replication and V14 effects,hypothesis_effects and memory tables,Claim disposition,main,Claim disposition,"Finite-size, one pinned model"
