relative_path,opens,page_count,fonts_embedded,text_extractable,render_300_dpi,rendered_pages,manual_original_resolution,clipping_or_overlap,reviewer
results/collective_agent_statmech_v13/figures/pdf/figure_01_micro_to_macro_architecture.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_02_individual_response_law.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_03_surrogate_stability.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_04_direct_llm_order_map.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_05_susceptibility_correlation_time.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_06_entropy_decomposition.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_07_energy_fluctuations.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_08_energy_entropy_nominal.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_09_energy_entropy_field_reversal.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_10_energy_entropy_partition.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_11_energy_entropy_corruption.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_12_magnetization_entropy_trajectories.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_13_network_partition_snapshots.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_14_disruption_response_recovery.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_15_macrostate_distance.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_16_memory_irreversibility.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_17_memory_loop_area.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_18_surrogate_vs_llm.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_19_representation_ablation.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_20_v12_v13_confirmation.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_21_finite_size.pdf,1,1,1,1,1,1,passed,none,Codex
results/collective_agent_statmech_v13/figures/pdf/figure_22_observable_correlation.pdf,1,1,1,1,1,1,passed,none,Codex
paper/jstat_v13/main.pdf,1,21,1,1,1,21,passed,none,Codex
