run_id,application,regime,environment_seed,agent_id,role,incident_id,epoch,private_belief_argmax,selected_action,first_pass_valid,repair_attempted,valid_after_one_repair,material_action_accepted,reached_next_stage,reached_service,causal_effect,llm_calls,prompt_tokens,generated_tokens,latency_seconds
v5-qwen-commercial-telemetry_integrity-e51901,commercial,telemetry_integrity,51901,com_supplier_0,supplier,supply_01,0,1,revise_commitment,True,False,True,True,True,False,-0.1507905259043586,1,959,57,0.38861176868279773
v5-qwen-commercial-telemetry_integrity-e51901,commercial,telemetry_integrity,51901,com_carrier_1,carrier,supply_01,1,3,deploy_repair_capacity,True,False,True,True,True,True,0.02157401132072656,1,971,61,0.38861176868279773
v5-qwen-commercial-telemetry_integrity-e51901,commercial,telemetry_integrity,51901,com_retailer_5,retailer,supply_02,2,0,revise_commitment,True,False,True,True,True,False,-0.2240725760419886,1,971,60,0.38861176868279773
v5-qwen-commercial-partition-e52001,commercial,partition,52001,com_carrier_3,carrier,supply_02,0,3,deploy_repair_capacity,True,False,True,True,True,False,-0.32988557829679555,1,972,61,0.38861176868279773
v5-qwen-commercial-partition-e52001,commercial,partition,52001,com_warehouse_4,warehouse,supply_02,1,3,revise_commitment,True,False,True,False,False,False,-0.12807790718841106,1,974,54,0.38861176868279773
v5-qwen-commercial-partition-e52001,commercial,partition,52001,com_coordinator_8,coordinator,supply_03,2,0,verify,True,False,True,True,True,True,0.2178201967672011,1,1014,58,0.38861176868279773
v5-qwen-commercial-compound-e52101,commercial,compound,52101,com_warehouse_6,warehouse,supply_03,0,2,revise_commitment,True,False,True,True,True,False,-0.26364773366608274,1,970,55,0.38861176868279773
v5-qwen-commercial-compound-e52101,commercial,compound,52101,com_retailer_7,retailer,supply_03,1,4,revise_commitment,True,False,True,True,True,False,-0.26364773366608274,1,947,55,0.38861176868279773
v5-qwen-commercial-compound-e52101,commercial,compound,52101,com_supplier_11,supplier,supply_04,2,3,revise_commitment,True,False,True,True,True,False,-0.23906226943798092,1,956,58,0.38861176868279773
v5-qwen-commercial-telemetry_integrity-e51902,commercial,telemetry_integrity,51902,com_supplier_0,supplier,supply_01,0,0,revise_commitment,True,False,True,True,True,False,-0.19902721251295963,1,956,56,0.38861176868279773
v5-qwen-commercial-telemetry_integrity-e51902,commercial,telemetry_integrity,51902,com_carrier_1,carrier,supply_01,1,0,deploy_repair_capacity,True,False,True,True,True,False,-0.31701048017848177,1,972,53,0.38861176868279773
v5-qwen-commercial-telemetry_integrity-e51902,commercial,telemetry_integrity,51902,com_retailer_5,retailer,supply_02,2,2,revise_commitment,True,False,True,False,False,False,-0.14356742545042267,1,966,53,0.38861176868279773
v5-qwen-commercial-partition-e52002,commercial,partition,52002,com_carrier_3,carrier,supply_02,0,1,deploy_repair_capacity,True,False,True,True,True,False,-0.32601474188817237,1,975,60,0.3706531689191858
v5-qwen-commercial-partition-e52002,commercial,partition,52002,com_warehouse_4,warehouse,supply_02,1,0,revise_commitment,True,False,True,False,False,False,-0.15206519813585884,1,958,55,0.3706531689191858
v5-qwen-commercial-partition-e52002,commercial,partition,52002,com_coordinator_8,coordinator,supply_03,2,3,verify,True,False,True,True,True,True,0.041448975719861725,1,1013,56,0.3706531689191858
v5-qwen-commercial-compound-e52102,commercial,compound,52102,com_warehouse_6,warehouse,supply_03,0,2,revise_commitment,True,False,True,True,True,False,-0.2509251688714429,1,953,54,0.3706531689191858
v5-qwen-commercial-compound-e52102,commercial,compound,52102,com_retailer_7,retailer,supply_03,1,4,revise_commitment,True,False,True,True,True,False,-0.2509251688714429,1,961,55,0.3706531689191858
v5-qwen-commercial-compound-e52102,commercial,compound,52102,com_supplier_11,supplier,supply_04,2,3,revise_commitment,True,False,True,True,True,False,-0.20602579339097837,1,955,53,0.3706531689191858
v5-qwen-commercial-telemetry_integrity-e51903,commercial,telemetry_integrity,51903,com_supplier_0,supplier,supply_01,0,2,revise_commitment,True,False,True,True,True,False,-0.18307164197341796,1,955,58,0.3706531689191858
v5-qwen-commercial-telemetry_integrity-e51903,commercial,telemetry_integrity,51903,com_carrier_1,carrier,supply_01,1,2,revise_commitment,True,False,True,True,True,False,-0.18307164197341796,1,972,58,0.3706531689191858
v5-qwen-commercial-telemetry_integrity-e51903,commercial,telemetry_integrity,51903,com_retailer_5,retailer,supply_02,2,4,revise_commitment,True,False,True,True,True,True,0.29624844749894497,1,962,53,0.3706531689191858
v5-qwen-commercial-partition-e52003,commercial,partition,52003,com_carrier_3,carrier,supply_02,0,2,deploy_repair_capacity,True,False,True,True,True,True,0.00994288471775251,1,959,62,0.3706531689191858
