citation_key,record_type,primary_record,metadata_disposition,checked_utc,notes
glauber1963,publisher_doi,https://doi.org/10.1063/1.1703954,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
schnakenberg1976,publisher_doi,https://doi.org/10.1103/RevModPhys.48.571,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
shannon1948,publisher_doi,https://doi.org/10.1002/j.1538-7305.1948.tb01338.x,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
watanabe1960,publisher_doi,https://doi.org/10.1147/rd.41.0066,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
schreiber2000,publisher_doi,https://doi.org/10.1103/PhysRevLett.85.461,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
seifert2005,publisher_doi,https://doi.org/10.1103/PhysRevLett.95.040602,verified,2026-08-21,"title journal year volume article number and DOI match the publisher record"
seifert2012,publisher_doi,https://doi.org/10.1088/0034-4885/75/12/126001,verified,2026-08-21,"title journal year volume article number and DOI match the publisher record"
roldan2012,publisher_doi,https://doi.org/10.1103/PhysRevE.85.031129,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
kawaguchi2013,publisher_doi,https://doi.org/10.1103/PhysRevE.88.022147,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
busiello2019,publisher_doi,https://doi.org/10.1088/1367-2630/ab29c0,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
kutvonen2015,publisher_doi,https://doi.org/10.1103/PhysRevE.92.012107,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
liang2023,publisher_doi,https://doi.org/10.1103/PhysRevE.108.L062101,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
paninski2003,publisher_doi,https://doi.org/10.1162/089976603321780272,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
blume1993,publisher_doi,https://doi.org/10.1006/game.1993.1023,verified,2026-08-21,"title journal year volume pages and DOI match the publisher record"
aguilera2021,publisher_doi,https://doi.org/10.1038/s41467-021-20890-5,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
fruchart2021,publisher_doi,https://doi.org/10.1038/s41586-021-03375-9,verified,2026-08-21,"title authors journal year volume pages and DOI match the publisher record"
zhang2023,publisher_doi,https://doi.org/10.1103/PhysRevResearch.5.L022033,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
calabrese2006,publisher_doi,https://doi.org/10.1103/PhysRevLett.96.136801,verified,2026-08-21,"title authors journal year volume article number and DOI match the publisher record"
qwen2024,primary_arxiv,https://arxiv.org/abs/2412.15115,verified,2026-08-21,"title author list year and arXiv identifier match the primary record"
jiang2023,primary_arxiv,https://arxiv.org/abs/2310.06825,verified_unused,2026-08-21,"metadata match; retained only for the documented rejected engineering attempt and not cited in the scientific narrative"
granite33model,official_model_card,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct/tree/51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,verified,2026-08-21,"official model card and immutable revision; Apache-2.0 license"
flint2025,primary_arxiv,https://arxiv.org/abs/2510.22422,verified,2026-08-21,"title authors year and arXiv identifier match the primary record"
han2026,primary_arxiv,https://arxiv.org/abs/2601.05606,verified,2026-08-21,"title authors year and arXiv identifier match the primary record"
denobili2026,primary_arxiv,https://arxiv.org/abs/2605.10528,verified,2026-08-21,"title author year and arXiv identifier match the primary record"
okawa2026,primary_arxiv,https://arxiv.org/abs/2608.02827,verified,2026-08-21,"title author year and arXiv identifier match the primary record"
el2026,primary_arxiv,https://arxiv.org/abs/2608.16578,verified,2026-08-21,"title authors submission date and arXiv identifier match the primary record"
