record_type,node,x,y,community,target,reliability,latency
node,0,-0.41553484846891414,-0.20864202640423382,0,,,
node,1,-0.32942247017252674,-0.12134212790599297,0,,,
node,2,-0.23439311666480217,-0.030037164513265328,0,,,
node,3,-0.45097153987908406,-0.0985800401226042,0,,,
node,4,-0.5707004976796235,-0.1810163928249861,0,,,
node,5,-0.3847596748946283,-0.06237086711010533,0,,,
node,6,-0.24634650832838553,-0.3412904518258582,0,,,
node,7,0.5770084141425921,0.296974605845799,1,,,
node,8,0.5472698563270143,0.42218883038898003,1,,,
node,9,0.634760631732735,0.421051513372093,1,,,
node,10,0.4691218303704744,0.4657089143156883,1,,,
node,11,0.3915210908755916,0.3295916633449048,1,,,
node,12,0.6216329278544295,0.5210669591298321,1,,,
node,13,0.22201591818797617,0.4027842491317437,1,,,
node,14,-0.1571413176695264,-0.7265348173163668,2,,,
node,15,-0.035374583187020525,-0.7279836877030658,2,,,
node,16,0.11248152437935502,-0.8307885062378574,2,,,
node,17,-0.1376091469129429,-0.5393926356177543,2,,,
node,18,-0.13786870646757984,-0.8219616271733983,2,,,
node,19,-0.12873323150503563,-1.0,2,,,
node,20,-0.20457043275330478,-0.6047119834167314,2,,,
node,21,0.06438052100359147,0.6768058181966952,3,,,
node,22,-0.013847626407433778,0.28117049295554963,3,,,
node,23,-0.07025606418527737,0.6027455404299713,3,,,
node,24,0.19666949330992436,0.2738184744686169,3,,,
node,25,-0.2452697325524176,0.6219618112494281,3,,,
node,26,0.03419345774613663,0.4912383971281752,3,,,
node,27,-0.10825616820131836,0.4875450582147424,3,,,
edge,0,,,,1,0.9265683570240139,3
edge,0,,,,3,0.8571485446957118,2
edge,0,,,,4,0.9303645149685345,1
edge,0,,,,5,0.9553649124935244,3
edge,0,,,,6,0.9556983587594505,2
edge,1,,,,2,0.8716431590406822,2
edge,1,,,,5,0.8733240642603359,1
edge,2,,,,3,0.8521574337676738,2
edge,2,,,,5,0.8590544890598842,3
edge,2,,,,6,0.9084168104147656,2
edge,2,,,,22,0.8775906410410049,3
edge,3,,,,4,0.9124584913047391,3
edge,3,,,,5,0.8476501199039653,2
edge,6,,,,17,0.9856682187696035,1
edge,6,,,,20,0.821278897943211,3
edge,7,,,,9,0.8891309685208837,1
edge,7,,,,11,0.853206321282332,1
edge,8,,,,9,0.8591734337622691,3
edge,8,,,,10,0.9649985519172,2
edge,8,,,,11,0.9660387002566768,1
edge,8,,,,12,0.9283581248749521,3
edge,9,,,,10,0.938736216751409,2
edge,9,,,,12,0.9445808575112532,1
edge,10,,,,12,0.9570244564261167,2
edge,10,,,,13,0.9845394944225887,1
edge,11,,,,13,0.9434970649703512,3
edge,11,,,,24,0.9338183318665324,1
edge,13,,,,22,0.9503258864802452,3
edge,13,,,,26,0.8660706817487036,1
edge,14,,,,15,0.8423740924041097,2
edge,14,,,,20,0.9475450119913733,1
edge,15,,,,16,0.8226488744930965,1
edge,15,,,,17,0.9047004408018763,1
edge,15,,,,18,0.8602108931608562,2
edge,17,,,,20,0.9854300688279635,2
edge,18,,,,19,0.9656264536831451,3
edge,18,,,,20,0.8754803900271115,1
edge,21,,,,26,0.8698042284630128,3
edge,22,,,,24,0.9836994220776261,3
edge,22,,,,26,0.8884726821947107,3
edge,22,,,,27,0.9379013186369181,2
edge,23,,,,26,0.9149535027015265,1
edge,23,,,,27,0.9322372352283448,3
edge,25,,,,27,0.9798587133851522,1
edge,26,,,,27,0.8463698627162921,1
