relative_path,sha256,opens,page_count,fonts_embedded,text_extractable,render_300dpi,manual_original_resolution_passed,qa_render_directory
results/llm_agent_statmech_v12/figures/pdf/figure_01_agent_architecture.pdf,93a910dede1d97b0deaf2475824b3746f9cea3c6b52cd0f7764ea9fcd9411ae4,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_02_network_construction.pdf,55330d92cc82ae06e3eb0ac6e5718a68b28a53f74dd13a65db58e00cea968df7,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_03_individual_response.pdf,91e3e3dc780ee0b7351c7c7dd8594d17b5cb7c3361054ece65121ab93346ec46,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_04_transition_persistence.pdf,999119fb5f51d0f9a8ec680a531bec382ad747b15b52e8972a770b333762d78d,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_05_network_trajectories.pdf,f584facb4fa0ac76eb50622c8e0c47abd913eef31ad403d9a4c6b8cdce1594de,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_06_collective_time_series.pdf,50647d834c9fbb039383ba92ccbe503a79724b6bcdbbe8586215261f94c4446e,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_07_collective_regimes.pdf,1679ac9bdd4206beb1bf12bb3a2675228fdfdb6703b0f4a61c9b5db312c6ea2b,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_08_correlations_fluctuations.pdf,1c0b70f1c2988ea7eca5297b79ce8308b1fcb89ef503efb30701c20518566a8d,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_09_probability_currents.pdf,69c620b3aad63f8f28f4bc7bd71b9f30d3934cbacf6fb0257b1e105b02496823,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_10_entropy_production.pdf,2916b26220d737df381360ea503914f62063c96cf711675df71ae70c0c73b608,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_11_path_irreversibility.pdf,17c6e1118b804e909d1540d09d7e2a73ee290e2414e9151a792da00e387e5e81,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_12_effective_model_comparison.pdf,eff426ac90d716b65885427132e46fbf4891563bf139703778e3245192c37f20,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_13_size_dependence.pdf,225f47c498b70e3f765f32d766e1c05d2f2f3a6a53ad7dbd73de80f45c435f70,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_14_memory_comparison.pdf,d0747596a0a24ff1460134acf86c7585f7e72cc38e26c9998864303eb4b7319f,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_15_controls.pdf,d3762c0f0aa619df7c012217e2d38bfc5e589d7fe753437fe0a45c778c0e6bfc,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
results/llm_agent_statmech_v12/figures/pdf/figure_16_network_snapshot.pdf,fab55ca7b8ac82ef7173cf22ef575aeb61457d3bd43b1c073019e92baea8a283,True,1,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
paper/jstat_v12/main.pdf,d64855bef6be185d26c62c5c4cf0d90ee172ce50695dfc2b43fb3069b8538fbb,True,18,True,True,True,True,/tmp/ThermoAgent-v12-artifacts/pdf_qa
