figure,preview,description,source_data,vector_pdf_required
figures/pdf/generalized_entropic_architecture.pdf,figures/png/generalized_entropic_architecture.png,"Two-level autonomous action and delegation architecture with private agents, distributed sketches, bounded simulated operator, dynamic simulator, and evaluator-only branch.",figures/data/architecture.csv,True
figures/pdf/independent_agent_operator_flow.pdf,figures/png/independent_agent_operator_flow.png,"Observable path from private evidence through independent proposals, communication, delegation, action, and service outcome.",figures/data/agent_operator_flow.csv,True
figures/pdf/entropy_family_curves.pdf,figures/png/entropy_family_curves.png,Normalized Shannon/Tsallis/Gini-Simpson response to increasing dominant-mode confidence.,figures/data/entropy_family_curves.csv,True
figures/pdf/entropy_spectrum_examples.pdf,figures/png/entropy_spectrum_examples.png,"Prespecified q-spectrum for broad, tail, dominant, and two-mode belief patterns.",figures/data/entropy_spectrum_examples.csv,True
figures/pdf/uncertainty_disagreement_phase_plane.pdf,figures/png/uncertainty_disagreement_phase_plane.png,Development candidates in the aleatoric-uncertainty versus epistemic-disagreement plane.,figures/data/uncertainty_disagreement_phase_plane.csv,True
figures/pdf/graph_weighted_consensus_network.pdf,figures/png/graph_weighted_consensus_network.png,Delivered sketch graph with reliability-weighted edges from a stored replay.,figures/data/graph_weighted_consensus_network.csv,True
figures/pdf/risk_coverage.pdf,figures/png/risk_coverage.png,Matched autonomous-action coverage versus harmful-action rate.,figures/data/risk_coverage.csv,True
figures/pdf/harm_coverage.pdf,figures/png/harm_coverage.png,Matched coverage versus harmful actions per independent panel.,figures/data/harm_coverage.csv,True
figures/pdf/utility_coverage.pdf,figures/png/utility_coverage.png,Matched coverage versus mean causal utility.,figures/data/utility_coverage.csv,True
figures/pdf/operator_workload_service_pareto.pdf,figures/png/operator_workload_service_pareto.png,Simulated-operator minutes versus dynamic service loss.,figures/data/operator_workload_service_pareto.csv,True
figures/pdf/communication_safety_pareto.pdf,figures/png/communication_safety_pareto.png,All-counted sketch bytes versus distributed-estimation error.,figures/data/communication_safety_pareto.csv,True
figures/pdf/entropy_family_effect_forest.pdf,figures/png/entropy_family_effect_forest.png,Prespecified entropy-family harm-rate effects versus Shannon at matched coverage with panel-bootstrap intervals.,figures/data/entropy_family_effect_forest.csv,True
figures/pdf/primary_dynamic_effect_forest.pdf,figures/png/primary_dynamic_effect_forest.png,Primary full-horizon generalized-entropic versus strongest non-entropic paired effects.,figures/data/primary_dynamic_effect_forest.csv,True
figures/pdf/fragmented_public_interaction.pdf,figures/png/fragmented_public_interaction.png,Private-fragmented minus public-shared incremental selective-safety effect.,figures/data/fragmented_public_interaction.csv,True
figures/pdf/v5_same_score_abstention.pdf,figures/png/v5_same_score_abstention.png,Post-development V5 same-score abstention reanalysis; V5 gates remain unchanged.,figures/data/v5_same_score_abstention.csv,True
figures/pdf/coverage_matched_escalation.pdf,figures/png/coverage_matched_escalation.png,Post-development V5 coverage/budget comparison with operator minutes.,figures/data/coverage_matched_escalation.csv,True
figures/pdf/sequential_rl_learning_curves.pdf,figures/png/sequential_rl_learning_curves.png,"Every sequential-PPO training seed, reward trajectory, and policy entropy.",figures/data/sequential_rl_learning_curves.csv,True
figures/pdf/rl_seed_evaluation.pdf,figures/png/rl_seed_evaluation.png,Independent RL-seed evaluation returns and between-seed dispersion.,figures/data/rl_seed_evaluation.csv,True
figures/pdf/qwen_agent_evaluation.pdf,figures/png/qwen_agent_evaluation.png,"Pinned real-Qwen validity, harm, abstention, and causal-effect diagnostics.",figures/data/qwen_agent_evaluation.csv,True
figures/pdf/calibration_conformal_risk.pdf,figures/png/calibration_conformal_risk.png,Cross-fitted reliability of the strongest non-entropic and generalized-entropic risk scores.,figures/data/calibration_conformal_risk.csv,True
figures/pdf/regime_heterogeneity.pdf,figures/png/regime_heterogeneity.png,Development harm effects by application and disruption regime.,figures/data/regime_heterogeneity.csv,True
figures/pdf/consensus_recovery_timing.pdf,figures/png/consensus_recovery_timing.png,Consensus and estimation-error trajectories around the explicit disruption onset.,figures/data/consensus_recovery_timing.csv,True
figures/pdf/utility_cyber_physical_network.pdf,figures/png/utility_cyber_physical_network.png,Abstract defensive utility-restoration communication network after simulated cyber-physical disruption.,figures/data/utility_cyber_physical_network.csv,True
figures/pdf/entropy_family_ablation.pdf,figures/png/entropy_family_ablation.png,Prespecified entropy and disagreement measures at fixed action coverage.,figures/data/entropy_family_ablation.csv,True
figures/pdf/operator_dashboard.pdf,figures/png/operator_dashboard.png,Actual authorized simulated-operator replay export; evaluator outcomes excluded.,figures/data/operator_dashboard.csv,True
figures/pdf/matched_operator_dashboard.pdf,figures/png/matched_operator_dashboard.png,Matched KPI/predictive and generalized-entropic authorized replay views from one prospectively selected panel.,figures/data/matched_operator_dashboard.csv,True
figures/pdf/causal_chain_funnel.pdf,figures/png/causal_chain_funnel.png,Separate operator and autonomous nested populations from selection to service-reaching beneficial action.,figures/data/causal_chain_funnel.csv,True
