component,x,y,boundary,width,height
private_observation,0.12,0.72,local,0.19,0.105
bounded_memory,0.12,0.54,local,0.19,0.105
delivered_inbox,0.12,0.36,local,0.19,0.105
LLM_local_transition,0.36,0.54,agent,0.2,0.14
belief_action_packet,0.6,0.68,observable,0.18,0.12
typed_local_action,0.6,0.4,observable,0.18,0.12
delivery_graph,0.86,0.68,network,0.165,0.12
environment,0.86,0.4,network,0.165,0.12
observable_projection_Y,0.39,0.13,evaluator,0.245,0.135
rolling_macrostate_Z,0.73,0.13,evaluator,0.235,0.135
