cluster_id,domain,paraphrase,option_order_right_first,private_observation,condition,expected_direction,nominal_reliability,probability_right,baseline_probability_right,logit_change,signed_logit_change,absolute_probability_change,belief_switch,action_switch,commitment_change
c0000,route_viability,0,0,left,no_message,0,0.5,0.35,0.35,0.0,0.0,0.0,0,0,0
c0000,route_viability,0,0,left,placebo,0,0.5,0.65,0.35,1.238078416812447,0.0,0.30000000000000004,1,1,0
c0000,route_viability,0,0,left,single_left_r0.55,-1,0.55,0.45,0.35,0.4183685129440723,-0.4183685129440723,0.10000000000000003,0,0,0
c0000,route_viability,0,0,left,single_right_r0.55,1,0.55,0.6,0.35,1.0245043165143877,1.0245043165143877,0.25,1,1,0
c0000,route_viability,0,0,left,single_left_r0.65,-1,0.65,0.35,0.35,0.0,-0.0,0.0,0,0,0
c0000,route_viability,0,0,left,single_right_r0.65,1,0.65,0.65,0.35,1.238078416812447,1.238078416812447,0.30000000000000004,1,1,0
c0000,route_viability,0,0,left,single_left_r0.75,-1,0.75,0.65,0.35,1.238078416812447,-1.238078416812447,0.30000000000000004,1,1,0
c0000,route_viability,0,0,left,single_right_r0.75,1,0.75,0.6875,0.35,1.407496568770494,1.407496568770494,0.3375,1,1,0
c0000,route_viability,0,0,left,single_left_r0.85,-1,0.85,0.7,0.35,1.466337068793427,-1.466337068793427,0.35,1,1,0
c0000,route_viability,0,0,left,single_right_r0.85,1,0.85,0.75,0.35,1.7176514970743333,1.7176514970743333,0.4,1,1,0
c0000,route_viability,0,0,left,stale_left_r0.85,-1,0.85,0.76,0.35,1.771718718344609,-1.771718718344609,0.41000000000000003,1,1,0
c0000,route_viability,0,0,left,agreeing_left_two_r0.65,-1,0.65,0.65,0.35,1.238078416812447,-1.238078416812447,0.30000000000000004,1,1,0
c0000,route_viability,0,0,left,conflict_net_left,-1,0.85,0.67,0.35,1.3272242663307097,-1.3272242663307097,0.32000000000000006,1,1,0
c0000,route_viability,0,0,left,reciprocal_left_r0.75,-1,0.75,0.65,0.35,1.238078416812447,-1.238078416812447,0.30000000000000004,1,1,0
c0000,route_viability,0,0,left,stale_right_r0.85,1,0.85,0.7625,0.35,1.7854740934130942,1.7854740934130942,0.4125,1,1,0
